,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
559,Celkon A115,0,2014,164 g (5.78 oz),IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~62.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Quad-core 1.3 GHz Cortex-A7,"4 GB, 512 MB RAM","4 GB, 512 MB RAM",8 MP,1.3 MP,2.0,Removable Li-Ion 2000 mAh battery,
560,Celkon Q455,0,2014,130 g (4.59 oz),IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm2 (~60.1% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Quad-core 1.2,"16 GB, 1 GB RAM","16 GB, 1 GB RAM",8 MP,1.3 MP,2.1,Removable Li-Ion 2000 mAh battery,About 100 EUR
561,Celkon Q470,0,2014,137 g (4.83 oz),IPS LCD capacitive touchscreen,"4.7 inches, 60.9 cm2 (~64.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Quad-core 1.3 GHz Cortex-A7,"16 GB, 1 GB RAM","16 GB, 1 GB RAM",8 MP,2 MP,"4.0, A2DP",Removable Li-Ion 1800 mAh battery,
562,Chea A90,0,"2004, Q1",82.8 g (2.89 oz),"CSTN, 4096 colors",,128 x 160 pixels,,,,No,,No,Removable battery,
563,Chea JMS-110,0,"2004, Q1",77 g (2.72 oz),"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,No,Removable Li-Ion 720 mAh battery,
564,Chea 328,0,"2003, Q3",77 g (2.72 oz),"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,No,Removable Li-Ion battery,
565,Chea 318,0,"2003, Q3",77 g (2.72 oz),"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,No,Removable Li-Ion battery,
566,Chea 308,0,"2003, Q3",77 g (2.72 oz),"STN, 4096 colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,No,Removable Li-Ion battery,
567,Chea 228,0,"2003, Q3",74 g (2.61 oz),"TFT, 65K colors",,128 x 160 pixels,,,,No,,No,Removable Li-Ion battery,
568,Chea 218,0,"2003, Q3",74 g (2.61 oz),"TFT, 65K colors",,128 x 160 pixels,,,,No,,No,Removable Li-Ion battery,
569,Chea 208,0,"2003, Q3",74 g (2.61 oz),"TFT, 65K colors",,128 x 160 pixels,,,,No,,No,Removable Li-Ion battery,
570,Chea 198,0,"2003, Q2",80 g (2.82 oz),"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,No,Removable Li-Ion 650 mAh battery,
571,Chea 188,0,"2003, Q2",80 g (2.82 oz),"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,No,Removable Li-Ion 650 mAh battery,
572,Chea 178,0,"2003, Q2",80 g (2.82 oz),"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,No,Removable Li-Ion 650 mAh battery,
573,Chea 168,0,"2003, Q2",80 g (2.82 oz),"FSTN, monochrome graphics",,"112 x 64 pixels, 16:9 ratio",,,,No,,No,Removable Li-Ion 650 mAh battery,
574,Coolpad Cool Play 8,1,"2018, December",177 g (6.24 oz),"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~83.3% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"64 GB, 4 GB RAM","64 GB, 4 GB RAM","16 MP, AF
2 MP, depth sensor",8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 150 EUR
575,Coolpad Mega 5A,1,"2018, August",-,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Quad-core 1.3 GHz Cortex-A7,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, f/2.0, PDAF
VGA, depth sensor",5 MP,"4.0, A2DP, LE",Non-removable Li-Ion 2500 mAh battery,About 7000 INR
576,Coolpad Note 6,1,"2018, May",170 g (6.00 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 1.4 GHz Cortex-A53,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","13 MP, 2.2, AF","8 MP
5 MP, depth sensor","4.0, A2DP, LE",Non-removable Li-Ion 4070 mAh battery,About 9000 INR
577,Coolpad Cool 2,1,"2018, April",160 g (5.64 oz),"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~73.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"64 GB, 4 GB RAM","64 GB, 4 GB RAM","13 MP, AF
VGA, depth sensor",8 MP,"4.0, A2DP, LE",Non-removable Li-Ion 3200 mAh battery,
578,Coolpad Cool Play 6,1,"2017, August",175 g (6.17 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A72),"64 GB, 6 GB RAM","64 GB, 6 GB RAM","13 MP, PDAF, f/2.0
13 MP","8 MP, f/2.2, 1/3.2"", 1.4m","4.1, A2DP, LE",Non-removable Li-Ion 4060 mAh battery,About 15000 INR
579,Coolpad Cool M7,1,"2017, August",152 g (5.36 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~74.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 2.0 GHz Cortex-A53,"64 GB, 4 GB RAM","64 GB, 4 GB RAM","12 MP, f/1.8, 1/2.55"", 1.4m, PDAF","13 MP, f/2.2, 1/3"", 1.12m","4.1, A2DP, LE",Non-removable Li-Ion 3200 mAh battery,About 350 EUR
580,Coolpad NX1,1,"2017, August",-,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.0 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF, f/2.4","2 MP, f/2.4","4.0, A2DP",Non-removable Li-Po 2000 mAh battery,About 10300 INR
581,Coolpad Defiant,1,"2017, June",184.3 g (6.49 oz),"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Quad-core 1.4 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","5 MP, AF",2 MP,"4.2, A2DP, LE",Li-Ion 2450 mAh battery,About 100 USD
582,Coolpad Note 5 Lite,1,"2017, March",148 g (5.22 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.0 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, AF, f/2.2","8 MP, f/2.2","4.0, A2DP",Non-removable Li-Ion 2500 mAh battery,About 120 EUR
583,Coolpad Cool1 dual,1,"2016, August",167 g (5.89 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72),"64 GB, 4 GB RAM or 32 GB, 3/4 GB RAM","64 GB, 4 GB RAM or 32 GB, 3/4 GB RAM","13 MP, PDAF, f/2.0
13 MP","8 MP, f/2.2, 1/3.2"", 1.4m","4.1, A2DP, LE",Non-removable Li-Ion 4060 mAh battery,About 200 EUR
584,Coolpad Conjr,1,"2017, January",148 g (5.22 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.0 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, f/2.2, OIS, AF","8 MP, f/2.2","4.0, A2DP",Non-removable Li-Ion 2500 mAh battery,About 210 EUR
585,Coolpad Cool S1,1,"2016, December",168 g (5.93 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),"128 GB, 6 GB RAM or 64 GB, 4 GB RAM","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","16 MP, PDAF, f/2.0",8 MP,"4.1, A2DP, LE",Non-removable Li-Po 4070 mAh battery,About 420 EUR
586,Coolpad Note 3s,1,"2016, November",163 g (5.75 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core (4x1.3 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","13 MP, AF, f/2.2","5 MP, f/2.2","4.0, A2DP",Non-removable Li-Po 2500 mAh battery,
587,Coolpad Mega 3,1,"2016, December",170 g (6.00 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.2 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF, f/2.2","8 MP, f/2.2","4.0, A2DP",Non-removable Li-Po 3050 mAh battery,About 110 EUR
588,Coolpad Note 5,1,"2016, September",173.4 g (6.10 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32/64 GB, 4 GB RAM","32/64 GB, 4 GB RAM","13 MP, AF, f/2.2","8 MP, f/2.2","4.0, A2DP",Non-removable Li-Ion 4010 mAh battery,About 180 EUR
589,Coolpad Modena 2,1,"2016, September",143 g (5.04 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.0 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF, f/2.2","8 MP, f/2.2","4.1, A2DP, LE",Non-removable Li-Ion 2500 mAh battery,About 180 EUR
590,Coolpad Mega,1,"2016, August",143 g (5.04 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 109.5 cm2 (~93.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~233 ppi density)",Quad-core 1.0 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","8 MP, AF, f/2.2","8 MP, f/2.2","4.0, A2DP",Non-removable Li-Ion 2500 mAh battery,About 80 EUR
591,Coolpad Torino,1,"2016, July",163 g (5.75 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core (4x1.36 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, AF, f/2.2","5 MP, f/2.2","4.0, A2DP",Non-removable Li-Ion 2500 mAh battery,About 200 EUR
592,Coolpad Note 3 Plus,1,"2016, May",168 g (5.93 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 1.3 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, AF, f/2.0",5 MP,"4.0, A2DP",Non-removable Li-Ion 3000 mAh battery,About 120 EUR
593,Coolpad Max,1,"2016, June",170 g (6.00 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"64 GB, 4 GB RAM","64 GB, 4 GB RAM","13 MP, PDAF, f/2.0","5 MP, f/2.2, 1/4"", 1.4m","4.0, A2DP",Non-removable Li-Ion 2800 mAh battery,About 380 EUR
594,Coolpad Porto S,1,"2016, January",125 g (4.41 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.0 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF, f/2.4","2 MP, f/2.4","4.0, A2DP, LE",Non-removable Li-Po 2000 mAh battery,About 130 EUR
595,Coolpad Torino S,1,"2016, January",120 g (4.23 oz),"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~64.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Quad-core 1.2 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF, f/2.2","5 MP, f/2.2","4.1, A2DP, LE",Non-removable Li-Ion 1800 mAh battery,About 180 EUR
596,Coolpad Note 3 Lite,1,"2016, January",142 g (5.01 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, AF, f/2.0","5 MP, f/2.4","4.0, A2DP",Non-removable Li-Ion 2500 mAh battery,About 110 EUR
597,Coolpad Roar,0,"2015, November",-,IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm2 (~64.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",Removable Li-Ion 1800 mAh battery,
598,Coolpad Note 3,1,"2015, October",-,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core 1.3 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, AF, f/2.0",5 MP,"4.0, A2DP",Non-removable Li-Ion 3000 mAh battery,About 120 EUR
599,Coolpad Shine,1,"2015, October",-,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"8 GB, 2 GB RAM","8 GB, 2 GB RAM","13 MP, AF",5 MP,"4.0, A2DP, LE",Non-removable Li-Ion 2500 mAh battery,About 200 EUR
600,Coolpad Modena,1,"2015, August",158 g (5.57 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",Quad-core 1.2 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",2 MP,"4.0, A2DP, LE",Non-removable Li-Ion 2500 mAh battery,About 160 EUR
601,Coolpad Porto,1,"2015, August",119 g (4.20 oz),"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~64.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",Quad-core 1.2 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",5 MP,"4.0, A2DP, LE",Non-removable Li-Ion 1800 mAh battery,About 150 EUR
602,Coolpad 3632,1,Not announced yet,-,"Capacitive touchscreen, 16M colors","6.1 inches, 102.5 cm2","480 x 854 pixels, 16:9 ratio (~161 ppi density)",Quad-core 1.4 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",,About 100 EUR
603,Dell Venue 10 7000,1,"2015, April",597 g (1.32 lb),"OLED capacitive touchscreen, 16M colors","10.5 inches, 319.7 cm2 (~67.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~288 ppi density)",Quad-core 2.3 GHz,"32 GB, 2 GB RAM","32 GB, 2 GB RAM","8 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Ion 7000 mAh battery,About 460 EUR
604,Dell Venue 8 7000,1,"2014, October",305 g (10.76 oz),"OLED capacitive touchscreen, 16M colors","8.4 inches, 204.6 cm2 (~76.3% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~359 ppi density)",Quad-core 2.3 GHz,"16/32 GB, 2 GB RAM","16/32 GB, 2 GB RAM","8 MP, AF, f/2.4",2 MP,"4.0, A2DP",Non-removable Li-Ion 5900 mAh battery (21 Wh),About 250 EUR
605,Dell Venue 8,0,"2013, October. Released 2013, October",292 g (10.30 oz),"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Dual-core 2.0 GHz,"16/32 GB, 2 GB RAM","16/32 GB, 2 GB RAM",5 MP,2 MP,"4.0, A2DP",Non-removable Li-Ion 4100 mAh battery (15.5 Wh),About 130 EUR
606,Dell Venue 7 8 GB,0,"2013, October. Released 2013, October",234 g (8.25 oz),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Dual-core 1.6 GHz,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",3.15 MP,VGA,"4.0, A2DP",Non-removable Li-Ion 4100 mAh battery (15.5 Wh),
607,Dell Venue 7,0,"2013, October. Released 2013, October",234 g (8.25 oz),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Dual-core 1.6 GHz,"16 GB, 2 GB RAM","16 GB, 2 GB RAM",3.15 MP,VGA,"4.0, A2DP",Non-removable Li-Ion 4100 mAh battery (15.5 Wh),About 100 EUR
608,Dell XPS 10,1,"2012, Q4. Released 2012, December",635 g (1.40 lb),"TFT capacitive touchscreen, 16M colors","10.1 inches, 281.1 cm2 (~57.7% screen-to-body ratio)","1366 x 768 pixels, 16:9 ratio (~155 ppi density)",Dual-core 1.5 GHz,32/64 GB,32/64 GB,"5 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Ion battery (28 Wh),About 380 EUR
609,Dell Streak Pro D43,0,"2011, December. Released 2012, Q3",145 g (5.11 oz),"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~63.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Dual-core 1.5 GHz Scorpion,"8 GB ROM, 1 GB RAM","8 GB ROM, 1 GB RAM","8 MP, AF",1.3 MP,"2.1, A2DP, EDR",Removable Li-Ion 1520 mAh battery,About 450 EUR
610,Dell Streak 10 Pro,0,2011,727 g (1.60 lb),"TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Dual-core 1.0 GHz Cortex-A9,"16 GB, 1 GB RAM","16 GB, 1 GB RAM","5 MP, AF",2 MP,"2.1, A2DP, EDR",Non-removable Li-Ion battery,About 280 EUR
611,Dell Streak 7,0,"2011, February. Released 2011, March",453.6 g (1.00 lb),"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",Dual-core 1.0 GHz Cortex-A9,16 GB,16 GB,"5 MP, AF",1.3 MP,"2.1, A2DP, EDR",Non-removable Li-Ion 2780 mAh battery,About 210 EUR
612,Dell Streak 7 Wi-Fi,0,"2011, February. Released 2011, April",453.6 g (1.00 lb),"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",Dual-core 1.0 GHz Cortex-A9,16 GB,16 GB,"5 MP, AF",1.3 MP,"2.1, A2DP, EDR",Non-removable Li-Ion 2780 mAh battery,About 140 EUR
